2024-09-13 00:10:48 - Current Value: 256.00, Error: 73.69, P-Term: 117.91, I-Term: 0.00, D-Term: 0.00, Output: 2.90
2024-09-13 00:10:50 - Current Value: 258.00, Error: 71.69, P-Term: 114.71, I-Term: 0.12, D-Term: -0.18, Output: 2.90
2024-09-13 00:10:51 - Current Value: 260.00, Error: 69.69, P-Term: 111.51, I-Term: 0.12, D-Term: -0.18, Output: 2.90
2024-09-13 00:10:52 - Current Value: 261.00, Error: 68.69, P-Term: 109.91, I-Term: 0.12, D-Term: -0.09, Output: 2.90
2024-09-13 00:10:53 - Current Value: 265.00, Error: 64.69, P-Term: 103.51, I-Term: 0.12, D-Term: -0.35, Output: 2.90
2024-09-13 00:10:56 - Current Value: 272.00, Error: 57.69, P-Term: 92.31, I-Term: 0.12, D-Term: -0.22, Output: 2.90
2024-09-13 00:10:57 - Current Value: 274.00, Error: 55.69, P-Term: 89.11, I-Term: 0.12, D-Term: -0.18, Output: 2.90
2024-09-13 00:10:58 - Current Value: 279.00, Error: 50.69, P-Term: 81.11, I-Term: 0.12, D-Term: -0.44, Output: 2.90
2024-09-13 00:11:00 - Current Value: 282.00, Error: 47.69, P-Term: 76.31, I-Term: 0.12, D-Term: -0.26, Output: 2.90
2024-09-13 00:11:01 - Current Value: 285.00, Error: 44.69, P-Term: 71.51, I-Term: 0.12, D-Term: -0.26, Output: 2.90
2024-09-13 00:11:02 - Current Value: 287.00, Error: 42.69, P-Term: 68.31, I-Term: 0.12, D-Term: -0.18, Output: 2.90
2024-09-13 00:11:05 - Current Value: 294.00, Error: 35.69, P-Term: 57.11, I-Term: 0.12, D-Term: -0.22, Output: 2.90
2024-09-13 00:11:06 - Current Value: 297.00, Error: 32.69, P-Term: 52.31, I-Term: 0.12, D-Term: -0.26, Output: 2.90
2024-09-13 00:11:07 - Current Value: 300.00, Error: 29.69, P-Term: 47.51, I-Term: 0.12, D-Term: -0.27, Output: 2.90
2024-09-13 00:11:09 - Current Value: 302.00, Error: 27.69, P-Term: 44.31, I-Term: 0.12, D-Term: -0.18, Output: 2.90
2024-09-13 00:11:10 - Current Value: 305.00, Error: 24.69, P-Term: 39.51, I-Term: 0.12, D-Term: -0.26, Output: 2.90
2024-09-13 00:11:11 - Current Value: 308.00, Error: 21.69, P-Term: 34.71, I-Term: 0.12, D-Term: -0.27, Output: 2.90
2024-09-13 00:11:12 - Current Value: 311.00, Error: 18.69, P-Term: 29.91, I-Term: 0.12, D-Term: -0.27, Output: 2.90
2024-09-13 00:11:15 - Current Value: 317.00, Error: 12.69, P-Term: 20.31, I-Term: 0.12, D-Term: -0.19, Output: 2.90
2024-09-13 00:11:16 - Current Value: 319.00, Error: 10.69, P-Term: 17.11, I-Term: 0.12, D-Term: -0.18, Output: 2.90
2024-09-13 00:11:17 - Current Value: 321.00, Error: 8.69, P-Term: 13.91, I-Term: 0.12, D-Term: -0.18, Output: 2.90
2024-09-13 00:11:19 - Current Value: 324.00, Error: 5.69, P-Term: 9.11, I-Term: 0.12, D-Term: -0.26, Output: 2.90
2024-09-13 00:11:20 - Current Value: 326.00, Error: 3.69, P-Term: 5.91, I-Term: 0.12, D-Term: -0.18, Output: 2.90
2024-09-13 00:11:21 - Current Value: 328.00, Error: 1.69, P-Term: 2.71, I-Term: 0.12, D-Term: -0.18, Output: 2.85
2024-09-13 00:11:22 - Current Value: 331.00, Error: -1.31, P-Term: -2.09, I-Term: 0.03, D-Term: -0.27, Output: 2.80
2024-09-13 00:11:25 - Current Value: 337.00, Error: -7.31, P-Term: -11.69, I-Term: -0.12, D-Term: -0.19, Output: 2.75
